County,Total_Pop,Percent of County Food Benefits
alamance,176353,0.135
alexander,36512,0.138
alleghany,11185,0.138
anson,22202,0.281
ashe,27110,0.143
avery,17571,0.108
beaufort,44272,0.2
bertie,17240,0.24
bladen,29446,0.236
brunswick,153064,0.085
buncombe,273589,0.103
burke,87881,0.125
cabarrus,235797,0.099
caldwell,80492,0.14
camden,11088,0.077
carteret,69380,0.09
caswell,22614,0.18
catawba,163462,0.136
chatham,79864,0.059
cherokee,29512,0.158
chowan,13940,0.174
clay,11614,0.123
cleveland,100670,0.212
columbus,49885,0.224
craven,100874,0.13
cumberland,336699,0.21
currituck,31015,0.065
dare,37956,0.062
davidson,172586,0.143
davie,44090,0.103
duplin,48990,0.18
durham,332680,0.1
edgecombe,48301,0.306
forsyth,389157,0.149
franklin,74539,0.117
gaston,234215,0.152
gates,10383,0.137
graham,7980,0.179
granville,61903,0.113
greene,20211,0.17
guilford,546101,0.161
halifax,47848,0.291
harnett,138832,0.126
haywood,62609,0.127
henderson,118106,0.075
hertford,20875,0.306
hoke,53787,0.164
hyde,4576,0.164
iredell,195897,0.063
jackson,42955,0.093
johnston,234778,0.102
jones,9233,0.181
lee,65476,0.119
lenoir,54633,0.247
lincoln,93095,0.097
macon,44753,0.099
madison,38065,0.137
martin,21768,0.235
mcdowell,21508,0.167
mecklenburg,1145392,0.11
mitchell,15094,0.156
montgomery,25894,0.153
moore,105531,0.08
nash,95789,0.169
new hanover,234921,0.096
northampton,16779,0.263
onslow,207298,0.094
orange,150477,0.06
pamlico,12381,0.136
pasquotank,40938,0.176
pender,65737,0.093
perquimans,13210,0.162
person,39386,0.16
pitt,173542,0.175
polk,19986,0.111
randolph,146043,0.15
richmond,42778,0.299
robeson,116663,0.335
rockingham,91957,0.182
rowan,149645,0.134
rutherford,64963,0.197
sampson,59120,0.177
scotland,34162,0.313
stanly,64153,0.127
stokes,45175,0.118
surry,71403,0.16
swain,13967,0.14
transylvania,33355,0.107
tyrrell,3365,0.159
union,249070,0.069
vance,42138,0.293
wake,1175021,0.067
warren,18713,0.205
washington,10828,0.26
watauga,55089,0.036
wayne,117286,0.186
wilkes,65784,0.183
wilson,78449,0.193
yadkin,37463,0.125
yancey,18811,0.135
stdev,,0.06471934437